,SPECIES,SITE,ID,SEX,TREAT,FWL,BUT_WT,REL_DATE,COND_0,RECAP_DATE,NRECAP,BEH,TIME,NOTEBOOK
443,Pontia_occidentalis,Corfu_WA,20,F,CTL,2.3,0.52,1993-07-05,3,187,1,FLIGHT,MM,Corfu.CutWings.1993_2
444,Pontia_occidentalis,Corfu_WA,20,F,CTL,2.3,0.52,1993-07-05,3,188,2,SPOOK,AM,Corfu.CutWings.1993_2
445,Pontia_occidentalis,Corfu_WA,25,M,CUT,1.7,0.37,1993-07-05,1,187,1,FLIGHT,MM,Corfu.CutWings.1993_2
446,Pontia_occidentalis,Corfu_WA,26,F,CTL,2.5,0.82,1993-07-05,3,187,1,SPOOK,AM,Corfu.CutWings.1993_2
447,Pontia_occidentalis,Corfu_WA,29,M,CUT,2,0.63,1993-07-05,1,187,1,BASK,AM,Corfu.CutWings.1993_2
448,Pontia_occidentalis,Corfu_WA,30,F,CTL,2.3,0.72,1993-07-05,1,187,1,FLIGHT,AM,Corfu.CutWings.1993_2
449,Pontia_occidentalis,Corfu_WA,32,M,CTL,2.2,0.59,1993-07-05,1,187,1,FLIGHT,AM,Corfu.CutWings.1993_2
450,Pontia_occidentalis,Corfu_WA,33,M,CUT,2.1,0.65,1993-07-05,2,187,1,SPOOK,PM,Corfu.CutWings.1993_2
451,Pontia_occidentalis,Corfu_WA,35,F,CUT,2.1,0.72,1993-07-05,1,187,1,FLIGHT,AM,Corfu.CutWings.1993_2
452,Pontia_occidentalis,Corfu_WA,35,F,CUT,2.1,0.72,1993-07-05,1,187,2,SPOOK,MM,Corfu.CutWings.1993_2
453,Pontia_occidentalis,Corfu_WA,35,F,CUT,2.1,0.72,1993-07-05,1,187,3,SPOOK,MM,Corfu.CutWings.1993_2
454,Pontia_occidentalis,Corfu_WA,36,F,CTL,2.6,0.98,1993-07-05,3,192,1,OVI,AM,Corfu.CutWings.1993_2
455,Pontia_occidentalis,Corfu_WA,37,M,CUT,1.9,0.62,1993-07-05,1,187,1,FLIGHT,AM,Corfu.CutWings.1993_2
456,Pontia_occidentalis,Corfu_WA,37,F,CUT,1.9,0.62,1993-07-05,1,187,2,REST,AM,Corfu.CutWings.1993_2
457,Pontia_occidentalis,Corfu_WA,38,F,CTL,2.4,0.66,1993-07-05,1,188,1,FLIGHT,MM,Corfu.CutWings.1993_2
458,Pontia_occidentalis,Corfu_WA,42,M,CTL,2.3,0.72,1993-07-05,2,187,1,FLIGHT,AM,Corfu.CutWings.1993_2
459,Pontia_occidentalis,Corfu_WA,42,M,CTL,2.3,0.72,1993-07-05,2,187,2,BASK,AM,Corfu.CutWings.1993_2
460,Pontia_occidentalis,Corfu_WA,43,F,CUT,2.3,1.12,1993-07-05,1,187,1,OVI,MM,Corfu.CutWings.1993_2
