"SPECIES","SITE","ID","SEX","TREAT","REL_DATE","COND_0","CAPTIME_0","BEH_0","FWL","MEL_GRP","FDS","FT","FT6","FM2","FM6","FB","DS","HB","PV","AV","DV","FV","NOTEBOOK","NRECAP","RECAP_DATE"
"Pontia_occidentalis","Corfu_WA",243,"M","NatVar","6/21/89",1,1357,"F",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,172
"Pontia_occidentalis","Corfu_WA",243,"M","NatVar","6/21/89",1,1357,"F",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",2,173
"Pontia_occidentalis","Corfu_WA",245,"M","NatVar","6/21/89",3,1402,"F",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,172
"Pontia_occidentalis","Corfu_WA",246,"M","NatVar","6/21/89",1,1404,"F",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,175
"Pontia_occidentalis","Corfu_WA",500,"F","NatVar","6/21/89",1,1450,"M",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,172
"Pontia_occidentalis","Corfu_WA",281,"F","NatVar","6/21/89",1,1348,"HA",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,172
"Pontia_occidentalis","Corfu_WA",281,"F","NatVar","6/21/89",1,1348,"HA",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",2,173
"Pontia_occidentalis","Corfu_WA",288,"M","NatVar","6/21/89",1,1410,"F",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,173
"Pontia_occidentalis","Corfu_WA",288,"M","NatVar","6/21/89",1,1410,"F",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",2,175
"Pontia_occidentalis","Corfu_WA",289,"M","NatVar","6/21/89",2,1413,"N",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,178
"Pontia_occidentalis","Corfu_WA",408,"M","NatVar","6/21/89",2,1448,"F",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,172
"Pontia_occidentalis","Corfu_WA",285,"M","NatVar","6/21/89",2,1400,"R",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,172
"Pontia_occidentalis","Corfu_WA",406,"M","NatVar","6/21/89",1,1443,"F",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Corfu.NatVar.1989",1,174
